category,"event_code","event_description",severity
llm,0x02f30063,"The reply route object specified was not found or is not an LLM Route",error
llm,0x02f30064,"Could not create a TIBCO RV inbox necessary to receive the reply to an out going request.",error
llm,0x02f30065,"Could not create a TIBCO RV listener necessary to receive the reply to an out going request.",error
llm,0x02f30066,"Could not create a TIBCO RV timeout event necessary for correct request/reply processing.",error
llm,0x02f30067,"Could not set the reply subject of a TIBCO RV message.",error
llm,0x02f30068,"Could not queue up a TIBCO RV request/reply flow.",error
llm,0x02f30069,"TIBCO RV request/reply requesting route not available.",error
llm,0x02f3006a,"TIBCO RV reply could not be forwarded on a reply route.",error
llm,0x02f3006b,"TIBCO RV message could not be converted to properties.",error
llm,0x02f3006c,"XML representation of a TIBCO RV message could not be converted to a TIBCO RV message.",error
llm,0x02f3006d,"Invalid route list",error
llm,0x02f3006e,"A TLM route with request/reply on cannot be specified on a TLM policy",error
llm,0x02f3006f,"Cannot get message size",error
llm,0x02f30070,"LLM topic already in use.",error
llm,0x02f30071,"TIBCO RV subject already in use.",error
llm,0x02f30072,"Invalid port specified in the Daemon Parameter property.",error
llm,0x02f30073,"Invalid host specified in the Daemon Parameter property.",error
llm,0x02f30074,"Invalid route protocol",error
llm,0x02f30075,"Failed to create Ledger file.",error
llm,0x02f30076,"Failed to delete Ledger file.",error
llm,0x02f60077,"Bringing object down to delete ledger file.",info
llm,0x02f30078,"LLM Instance object is not started for this LLM Policy",error
llm,0x02f30079,"LLM Instance object is not started for this LLM Route",error
llm,0x02f3007a,"Cannot create transport due to failure to connect to daemon",error
llm,0x02f3007b,"Path to an LLM Instance object advance configuration file is not valid.",error
llm,0x02f3007c,"Cannot unregister certified messaging event listener",error
llm,0x02f3007d,"Certified messaging not enabled",error
llm,0x02f3007e,"TLM protocol does not support remove listener action",error
llm,0x02f3007f,"TIBCO RV Route not in the up state",error
llm,0x02f30080,"Invalid volume name",error
llm,0x02f30081,"Invalid remote daemon",error
mgmt,0x00360001,Pending,info
mgmt,0x00330002,"Memory full",error
mgmt,0x00330003,"Invalid class",error
mgmt,0x00330004,"Invalid name",error
mgmt,0x00330005,"Required property is missing",error
mgmt,0x00330007,"Cannot find configuration object",error
mgmt,0x00330008,"Cannot remove referenced configuration object",error
mgmt,0x00330009,"Cannot install XML management interface",error
mgmt,0x0033000b,"Too many arguments",error
mgmt,0x0033000c,"Configuration is not valid",error
mgmt,0x0034000d,"Object is disabled",warning
mgmt,0x0036000e,"Required referenced object not up",info
mgmt,0x00360010,"No CRLs configured",info
mgmt,0x00340011,"No matching rules configured",warning
mgmt,0x00340012,"No nameserver configured",warning
mgmt,0x00360013,"Configured.",info
mgmt,0x00350014,"Operational state up",notice
mgmt,0x00350015,"Operational state down",notice
mgmt,0x00350016,"Service installed on port",notice
mgmt,0x00340017,"Service removed from port",warning
mgmt,0x00340018,"Local configuration modified by script",warning
mgmt,0x00330019,"Operation state transition to up failed",error
mgmt,0x0033001a,"Operation state transition to down failed",error
mgmt,0x0033001b,"DataGlue is not licensed for this device",error
mgmt,0x0033001c,"Maximum number allocated",error
mgmt,0x0033001d,"Duplicate category",error
mgmt,0x0033001e,"Invalid remote login",error
mgmt,0x0036001f,"Interface registered with network dependent configuration queue",info
mgmt,0x00360020,"Network dependent configuration queue max wait time reached",info
mgmt,0x00360021,"Network dependent configuration executed",info
mgmt,0x00350022,"The object has not processed any configuration",notice
mgmt,0x00330023,"PKCS7-SMIME is not licensed for this device",error
mgmt,0x00330024,"SQL is not licensed for this device",error
mgmt,0x00330025,"SQL Data Source object failed to start",error
mgmt,0x00360026,"Domain is down",info
mgmt,0x00340027,"Multistep Probe enabled",warning
mgmt,0x00340028,"Configuration is deleted",warning
mgmt,0x00330029,"Processing Policy is not valid",error
mgmt,0x0036002a,"Object deletion in progress",info
mgmt,0x0033002b,"Cannot release referenced configuration object",error
mgmt,0x0033002c,"Cannot find referenced configuration object",error
mgmt,0x0033002d,"Cannot undo last configuration change",error
mgmt,0x0033002e,"Cannot undo new configuration",error
mgmt,0x0033002f,"Cannot undo - configuration has not been modified",error
mgmt,0x00300030,"Failed to access DataPower license",emergency
mgmt,0x00310031,"Access Denied - use 'cancel' to exit any submode.",alert
mgmt,0x00330032,"Configuration contains reference loop",error
mgmt,0x00330033,"Please show logs for details.",error
mgmt,0x00330034,"Low audit disk space",error
mgmt,0x00330035,"DPA suffix is required for the map file of the xformbin in tx dpa mode",error
mgmt,0x00330036,"required property email-address is missing",error
mgmt,0x00330037,"required property smtp-domain is missing",error
mgmt,0x00330038,"required property remote-address is missing",error
mgmt,0x00330039,"required local-address is missing",error
mgmt,0x0033003a,"domain import failed",error
mgmt,0x0033003b,"import url protocol not supported",error
mgmt,0x0033003c,"There are currently insufficient resources to start the SQL endpoint",error
mgmt,0x0036003d,"in quiescence",info
mgmt,0x0033003e,"Cannot read or write to a URL",error
mgmt,0x0033003f,"An internal routine could not create a temporary file.",error
mgmt,0x00330040,"An internal routine failed during the tar process",error
mgmt,0x00330041,"An internal routine could not open a temporary file.",error
mgmt,0x00330042,"An internal routine could not read a temporary file.",error
mgmt,0x00330043,"The manifest file could not be parsed.",error
mgmt,0x00330044,"The secure-backup file and the appliance are not at the same firmware level.",error
mgmt,0x00330045,"The secure-backup file had a checksum problem.",error
mgmt,0x00330046,"The secure-backup file had a filesize problem.",error
mgmt,0x00330047,"The remove of an internal directory failed.",error
mgmt,0x00330048,"The configuration file could not be linked to.",error
mgmt,0x00330049,"cannot set Common Criteria mode",error
mgmt,0x0033004a,"Cannot generate ephemeral key",error
mgmt,0x0033004b,"Cannot find a required file",error
mgmt,0x0033004c,"Secure backup restore filesize mismatch",error
mgmt,0x0033004d,"The secure-restore had a checksum mismatch with the manifest information",error
mgmt,0x0034004e,"The secure-backup or secure-restore issued informational log entries.",warning
mgmt,0x0033004f,"An encryption failure occurred.",error
mgmt,0x00330050,"An decryption failure occurred.",error
mgmt,0x00330051,"The protocol specified is not supported",error
mgmt,0x00330052,"The secure backup file has a mount mismatch",error
mgmt,0x00330053,"An invalid path is specified for raid",error
mgmt,0x00330054,"An invalid path is specified for iscsi",error
mgmt,0x00330055,"Previous attempt to generate error report failed",error
mgmt,0x00330056,"The secure-restore manifest file could not be verified with it's signature",error
mgmt,0x00330057,"There is insufficient space to complete the secure-restore",error
mgmt,0x00360058,"The secure-restore validation is complete",info
mgmt,0x00330059,"The secure-restore manifest file has been corrupted",error
mgmt,0x0033005a,"Failure Notification tcp connection validation failed",error
mgmt,0x0033005b,"Request timed out due to inactivity",error
mgmt,0x0033005c,"The configuration could not be parsed.",error
mgmt,0x0033005d,"A domain name and compact flash directory name conflict.",error
mgmt,0x0033005e,"The domain name and RAID directory name conflict.",error
mgmt,0x0033005f,"The domain name and iSCSI directory name conflict.",error
mgmt,0x00330060,"The domain name and Fibre Channel directory name conflict.",error
mgmt,0x00330061,"A dependent object could not be found",error
mgmt,0x00330062,"Invalid threshold type",error
mgmt,0x00330063,"Invalid algorithm type",error
mgmt,0x00330064,"Cannot install Interop Service.",error
mgmt,0x00330065,"Invalid start/stop date range",error
mgmt,0x00330066,"The number of parameters for the saved search query exceeds the maximum limit.",error
mgmt,0x00330067,"Key is not sufficient for the operations.",error
mgmt,0x00330068,"One or more of the clients is misconfigured for the purpose.",error
mgmt,0x00330069,"Data does not meet length requirement.",error
mgmt,0x0033006a,"Invalid time period specified.",error
mgmt,0x0033006b,"Invalid XML bytes scanned specified",error
mgmt,0x0033006c,"System Identifier in System Settings is too long, must be 64 characters or less",error
mgmt,0x0033006d,"Cannot extract the language pack.",error
mgmt,0x0033006e,"Cannot modify language settings.",error
mgmt,0x0033006f,"Authorization grant type is not supported for the client type.",error
mgmt,0x00330070,"Invalid refresh_token value specified.",error
mgmt,0x00330071,"Configuration error in XML Management Interface.",error
mgmt,0x00330072,"Configuration error in WSRR Server.",error
mgmt,0x00330073,"Configuration error in WSRR Server.",error
mgmt,0x00330074,"A subscription of type WSDL or Concept requires a value for Namespace.",error
mgmt,0x00330075,"A subscription type of Service Version requires WSRR server version 8.0.2 or greater.",error
mgmt,0x00330076,"Specified Mode requires an Error Rule of direction 'Error'.",error
mgmt,0x00330077,"Specified Mode requires a valid URL.",error
mgmt,0x00330078,"Invalid Response Code number.",error
mgmt,0x00350079,"Domain is open for e-Business",notice
mgmt,0x0036007a,"Cannot disable English.",info
mgmt,0x0033007b,"APOP authentication cannot be configured due to crypto mode",error
mgmt,0x0033007c,"The specified crypto algorithm cannot be configured or used due to crypto mode",error
mgmt,0x0033007d,"The secure-backup file and the appliance do not have the same crypto mode",error
mgmt,0x0033007e,"The object is currently locked for changes",error
mgmt,0x0036007f,"Cannot disable the language that is the system locale.",info
mgmt,0x00330080,"No custom method configured",error
mgmt,0x00330081,"Cannot disable Audit Log.",error
mgmt,0x00330082,"The ISAM runtime feature is not licensed for this device.",error
mgmt,0x00330083,"The ISAM Runtime feature is not installed on this device.",error
mgmt,0x00330084,"A runtime configuration operation failed.",error
mgmt,0x00330085,"The transaction queue is blocked as the runtime is down.",error
mgmt,0x00360086,"The Access Manager Reverse Proxy has shut down",info
mgmt,0x00330087,"Invalid properties detected.",error
mgmt,0x00330088,"Cannot add one or more password aliases.",error
mgmt,0x00330089,"Cannot delete one or more password aliases.",error
mgmt,0x0033008a,"Cannot save the password alias map file.",error
mgmt,0x0033008b,"The source appliance is not compatible with the target appliance. See the help for the support matrix between different machine type models.",error
mgmt,0x0033008c,"Cannot resolve the password alias.",error
mgmt,0x0033008d,"A runtime unconfiguration operation failed.",error
mgmt,0x0033008e,"A reverse proxy unconfiguration operation failed.",error
mgmt,0x0035008f,"Operational state down pending",notice
mgmt,0x00330090,"The licensed features are not the same on the secure backup and target appliances. See logs for more detail",error
mgmt,0x00330091,"A SSL proxy profile is not configured correctly for this service.",error
mgmt,0x00330092,"Failed to configure a reverse proxy.",error
mgmt,0x00330093,"Failed to configure a reverse proxy junction.",error
mgmt,0x00330094,"Invalid reverse proxy properties detected.",error
mgmt,0x00330095,"The object is of a class that cannot be modified",error
mgmt,0x00330096,"Cannot disable RBM Settings.",error
mgmt,0x00330097,"The password value cannot be empty",error
mgmt,0x00330098,"Claim check cannot contain iss check",error
mgmt,0x00330099,"JWT Validator does not contain iss check",error
mgmt,0x0033009a,"JWT Validator does not contain aud check",error
mgmt,0x0033009b,"Only verify or custom check is allowed",error
mgmt,0x0033009c,"JWT Grant Validator does not contain iss check",error
mgmt,0x0033009d,"JWT Grant Validator does not contain aud check",error
mgmt,0x0033009e,"JWT Grant Validator does not contain verify check",error
mgmt,0x0033009f,"Only authorization code and implicit grant type support OIDC",error
mgmt,0x003300a0,"The aud claim and iat claim must be specified as required by OIDC",error
mgmt,0x003300a1,"Invalid threshold interval",error
mgmt,0x003300a2,"Cannot decrypt with the identification credentials",error
mgmt,0x003300a3,"Missing an OAuth grant type",error
mgmt,0x003300a4,"Cannot connect to target",error
mgmt,0x003300a5,"Failed to connect to port",error
mgmt,0x003300a6,"Failed to connect to host",error
mgmt,0x003300a7,"Protocol connection failure",error
mgmt,0x003300a8,"The DFDL feature is not on the DataPower Gateway.",error
mime,0x00630001,"Internal error",error
mime,0x00630002,"No root part in MIME message",error
mime,0x00630003,"No content-id in DIME attachment",error
mime,0x00630004,"An attachment exceeded the size limit imposed by attachment-byte-count",error
mime,0x00630005,"Virus Detected",error
mime,0x00630006,"Root part not first",error
mime,0x00630007,"An attachment package exceeded the size limit imposed by attachment-package-byte-count",error
mime,0x00630008,"An incoming multipart/signed message was not correctly formatted.",error
monitor,0x00a30001,"Unimplemented feature",error
monitor,0x00a60002,"Message rejection",info
monitor,0x00a60003,"Message shaped",info
mq,0x01330001,"internal error",error
mq,0x01330002,"backend server error",error
mq,0x01330003,"request multistep processing failure",error
mq,0x01330004,"response multistep processing failure",error
mq,0x01330005,"could not send request",error
mq,0x01330006,"could not receive response",error
mq,0x01330007,"could not connect to the back QM",error
mq,0x01330008,"could not enable listener (client port not set)",error
mq,0x01330009,"could not enable listener",error
mq,0x0133000a,"rejected by monitor filter",error
mq,0x0133000b,"QM down",error
mq,0x0133000c,"The unit-of-work was backed out (Reason Code 2003)",error
mq,0x0133000d,"Connection was broken (Reason Code 2009)",error
mq,0x0131000e,"Could not send, message is too large (Reason Code 2010)",alert
mq,0x0133000f,"MQGET is not allowed on this queue (Reason Code 2016)",error
mq,0x01330010,"The get or put call failed due to QM transactionality limit (Reason Code 2024)",error
mq,0x01330011,"A new connection could not be opened (Reason Code 2025)",error
mq,0x01330012,"The message could not be put on the queue (Reason Code 2030)",error
mq,0x01330013,"The get call timed out before receiving any messages (Reason Code 2033)",error
mq,0x01330014,"The call failed due to permissions for this user (Reason Code 2035)",error
mq,0x01330015,"The call failed because the queue is in use (Reason Code 2042)",error
mq,0x01330016,"The call failed because the options for this call are invalid (Reason Code 2045)",error
mq,0x01330017,"Could not send, message priority is too high (Reason Code 2049)",error
mq,0x01330018,"Could not send, MQPUT is not allowed (Reason Code 2051)",error
mq,0x01330019,"Could not send, destination queue is full (Reason Code 2053)",error
mq,0x0133001a,"Could not send due to lack of storage (Reason Code 2056)",error
mq,0x0133001b,"Could not connect to the named QM (Reason Code 2058)",error
mq,0x0133001c,"Could not connect to the QM (Reason Code 2059)",error
mq,0x0133001d,"Could not get, truncated messages not accepted (Reason Code 2080)",error
mq,0x0133001e,"Could not open the alias Q (Reason Code 2082)",error
mq,0x0133001f,"Could not open, destination queue or topic object is unknown (Reason Code 2085)",error
mq,0x01330020,"Could not open, remote queue manager is unknown (Reason Code 2087)",error
mq,0x01330021,"Could not convert the message (Reason Code 2110)",error
mq,0x01330022,"Operation failed due to quiescing QM (Reason Code 2161)",error
mq,0x01330023,"Operation failed due to stopping QM (Reason Code 2162)",error
mq,0x01330024,"Message was too big for the channel (Reason Code 2218)",error
mq,0x01330025,"Q BackoutThreshold reached (Reason Code 2362)",error
mq,0x01330026,"MQPUT call failed since segments are not supported (Reason Code 2365)",error
mq,0x01330027,"SSL connection cannot be established (Reason Code 2371)",error
mq,0x01330028,"SSL initialization failed due to a key repository error (Reason Code 2381)",error
mq,0x01330029,"SSL has already been initialized (Reason Code 2391)",error
mq,0x0133002a,"SSL configuration is not valid (Reason Code 2392)",error
mq,0x0133002b,"SSL initialization has failed (Reason Code 2393)",error
mq,0x0133002c,"SSL cipher suite not known (Reason Code 2400)",error
mq,0x0133002d,"SSL certificate has been revoked (Reason Code 2401)",error
mq,0x0133002e,"SSL certificate store error (Reason Code 2402)",error
mq,0x0133002f,"SSL Key Repository conversion to SSL Proxy Profile failed",error
mq,0x01330030,"No message under cursor (Reason Code 2034)",error
mq,0x01330031,"Selector syntax error (Reason Code 2459)",error
mq,0x01330032,"MQSUB calls are currently inhibited for the topic subscribed to. (Reason Code 2503)",error
mq,0x01330033,"Invalid topic string is specified. (Reason Code 2425)",error
mq,0x01330034,"The topic of the subscriptions cannot be changed. (Reason Code 2510)",error
mq,0x01330035,"The sublevel of the subscriptions cannot be changed. (Reason Code 2512)",error
mq,0x01330036,"The named subscription is in used by another application. (Reason Code 2429)",error
mq,0x01330037,"The subscription named in the MQSUB call is invalid. (Reason Code 2523)",error
mq,0x01330038,"The SelectionString of the subscriptions cannot be changed. (Reason Code 2524)",error
mq,0x01330039,"The destination class of the subscriptions cannot be changed. (Reason Code 2533)",error
mq,0x0133003a,"An MQSUB call using the MQSO_DURABLE option failed. (Reason Code 2436)",error
mq,0x0133003b,"The selector is always false. (Reason 2504)",error
mq,0x0133003c,"The function, ex: MQSUB() or MQSTAT() requested is not available in the current environment. (Reason Code 2298)",error
mq,0x0133003d,"Failed to deliver the publication to one of the subscribers. (Reason Code 2502)",error
mq,0x0133003e,"A looping publication has been detected and put onto the dead-letter queue. (Reason Code 2541)",error
mq,0x0133003f,"Failed for some of the destinations in an MQOPEN or MQPUT call using a distribution list. (Reason Code 2136)",error
mq,0x01330040,"Transfer fails due to front side error.",error
mq,0x01330041,"Transfer fails due to maximum message size too small.",error
mq,0x01330042,"The selected IBM MQ SSL Cipher is not supported for the specified protocol option",error
multistep,0x00c30001,"Parse Error, XML not well formed",error
multistep,0x00c30002,"Compilation error",error
multistep,0x00c30003,"XML not schema valid",error
multistep,0x00c30004,"Missing URL in XSL PI",error
multistep,0x00c30005,"Bad URL in XSL PI",error
multistep,0x00c30006,"Illegal protocol in XSL PI",error
multistep,0x00c30007,"Attachments not allowed",error
multistep,0x00c30008,"Missing input on action",error
multistep,0x00c30009,"Unknown rule in CALL",error
multistep,0x00c3000a,"Convert-HTTP failed to parse the CGI query arguments provided",error
multistep,0x00c3000b,"Invalid xpath expression",error
multistep,0x00c3000c,"Context does not exist",error
multistep,0x00c3000d,"Variable does not exist on that context or has invalid name",error
multistep,0x00c3000e,"Cannot read from OUTPUT",error
multistep,0x00c3000f,"Invalid URL",error
multistep,0x00c30010,"Internal Error",error
multistep,0x00c60011,"On-Error Rule Triggered",info
multistep,0x00c30012,"INPUT not available or cannot be used this way",error
multistep,0x00c30013,"External URL had DNS failure",error
multistep,0x00c30014,"External URL unreachable",error
multistep,0x00c30015,"External URL timed out",error
multistep,0x00c30016,"External URL protocol Error",error
multistep,0x00c30017,"External URL network failure",error
multistep,0x00c30018,"Style sheet failed to stream",error
multistep,0x00c30019,"CALL recursive depth too deep",error
multistep,0x00c3001a,"CALL rule is not operational",error
multistep,0x00c3001b,"Binary style sheet is incompatible with non-binary processing action",error
multistep,0x00c3001c,"Multiple attachment packages were written to the output context",error
multistep,0x00c3001d,"Root part not first in streaming conformance mode",error
multistep,0x00c3001e,"Loop/conditional action recursive depth too deep",error
multistep,0x00c3001f,"Unknown action",error
multistep,0x00c30020,"Event-sink waiting on synchronous action",error
multistep,0x00c30021,"Event-sink timeout",error
multistep,0x00c30022,"dpa runtime error",error
multistep,0x00c30023,"convert-http unknown URL",error
multistep,0x00c30024,"Input message not signed",error
multistep,0x00c30025,"Parse Error, invalid JSON",error
multistep,0x00c30026,"Invalid digest algorithm for CMS message verification",error
multistep,0x00c30027,"GatewayScript feature is disabled",error
multistep,0x00c30028,"dp:set-variable called with an empty XPath 2.0 sequence, while it expected a single item or a sequence of a single item.",error
multistep,0x00c30029,"dp:set-variable called with an XPath 2.0 sequence with more than one item, while it expected to be called with a single item or a sequence of a single item.",error
netegrity,0x01c30001,"Restarting CA Single Sign-On client endpoint failed.",error
netegrity,0x01c30002,"Starting CA Single Sign-On client endpoint failed.",error
netegrity,0x01c30003,"Agent name missing.",error
netegrity,0x01c30004,"Agent password missing.",error
netegrity,0x01c30005,"PolicyServer host missing.",error
netegrity,0x01c30006,"Invalid SmHost configuration file.",error
nethsm,0x04a30001,"Cannot load the key from the Luna HSM.",error
nethsm,0x04a30002,"Fail to configure the Luna HSM.",error
nethsm,0x04a30003,"Fail to configure the Luna HSM partition.",error
nethsm,0x04a30004,"Duplicated HA label.",error
nethsm,0x04a30005,"No members are defined for the HA group.",error
nethsm,0x04a30006,"Fail to configure the HA group.",error
network,0x00b30002,"Failed to install on port",error
network,0x00b30004,"Invalid local address",error
network,0x00b30007,"Network Error",error
network,0x00b30009,"Host connection could not be established",error
network,0x00b3000a,"Cannot install without a service.",error
network,0x00b3000b,"Cannot install because the service is down.",error
network,0x00b30017,"Standby VIP address family does not match primary.",error
network,0x00b30018,"No Primary address defined, VIP not supported.",error
network,0x00b30019,"Default Gateway is not an IPv4 address.",error
network,0x00b3001b,"Too many members were created for this algorithm. Limit is 64.",error
network,0x00b3001c,"Too many members were created. Limit is 512.",error
network,0x00b3001d,"You must configure at least one Monitored Cookie for active-conditional mode.",error
network,0x00b3001e,"The Insertion Cookie Name contains an invalid character sequence.",error
network,0x00b3001f,"The Insertion Path contains an invalid character sequence.",error
network,0x00b30020,"The Insertion Domain contains an invalid character sequence.",error
network,0x00b30021,"One or more of the monitored cookies contains an invalid character sequence.",error
network,0x00b30022,"No host name configured for SMTP server connection",error
network,0x00b30023,"No account name configured for SMTP server connection with authentication",error
network,0x00b30024,"Invalid characters used in WLM group name",error
network,0x00b30025,"Unsupported functionality",error
network,0x00b30026,"Resource not found. Try a different URL.",error
network,0x00b30027,"Generic error",error
network,0x00b30028,"Connection error.",error
network,0x00b30029,"Error with DNS lookup.",error
network,0x00b3002a,"Error with SSL connection.",error
network,0x00b3002b,"Problem reading HTTP headers.",error
network,0x00b3002c,"Loop detection triggered.",error
network,0x00b3002d,"Error accessing document in document cache.",error
network,0x00b3002e,"exceeded allowable number of redirects",error
network,0x00b3002f,"Redirect does not have location header.",error
network,0x00b30030,"Redirect has bad body length.",error
network,0x00b30031,"Problem creating connection for redirect.",error
network,0x00b30032,"Cannot handle HTTP response code.",error
network,0x00b30033,"Protocol-framing error: SMTP or FTP.",error
network,0x00b30034,"Protocol response error: SMTP or FTP.",error
network,0x00b30035,"Protocol state error: SMTP or FTP.",error
network,0x00b30036,"Port timed out.",error
network,0x00b30037,"Port error. Try again.",error
network,0x00b30038,"Redirect is to an unsupported URI schema.",error
network,0x00b30039,"Invalid local address.",error
network,0x00b3003a,"File not found.",error
network,0x00b3003b,"Packet capture already running with this file name.",error
network,0x00b3003c,"Failed to create file for packet capture.",error
network,0x00b3003d,"Failed to set up packet recording.",error
network,0x00b3003e,"Multicast IP version mismatch.",error
network,0x00b3003f,"Invalid ephemeral port range",error
network,0x00b30040,"Internal network configuration error.",error
network,0x00b30041,"Error configuring standby control.",error
network,0x00b30042,"Invalid parent for the VLAN interface.",error
network,0x00b30043,"Cannot delete the aggregation interface.",error
network,0x00b30044,"Cannot create the aggregation interface.",error
network,0x00b30045,"Cannot bind to the Ethernet interface.",error
network,0x00b30046,"Cannot change Ethernet interface configuration. It is a member of a link aggregation.",error
network,0x00b30047,"Cannot bring up the VLAN interface.",error
network,0x00b30048,"Ethernet interface is part of link aggregation.",error
network,0x00b30049,"One or more links are not in link aggregation mode.",error
network,0x00b3004a,"Cannot enable link aggregation for the Ethernet interface.",error
network,0x00b3004b,"Cannot set MTU.",error
network,0x00b3004c,"Cannot set IP address.",error
network,0x00b3004d,"Cannot set static route.",error
network,0x00b3004e,"Cannot define interface isolate.",error
network,0x00b3004f,"Cannot define the virtual IP address.",error
network,0x00b30050,"Cannot define MAC address.",error
network,0x00b30051,"Cannot define Ethernet mode.",error
network,0x00b30052,"Cannot define VLAN priority.",error
network,0x00b30053,"Attempted to aggregate an ineligible member.",error
network,0x00b30054,"Cannot add member to aggregation.",error
network,0x00b30055,"Invalid interface name.",error
network,0x00b30056,"Manual mode not supported.",error
network,0x00b30057,"No virtual IP address for standby control.",error
network,0x00b30058,"Virtual IP addresses for standby control must be IPv4.",error
network,0x00b30059,"Cannot disable ICMP.",error
network,0x00b3005a,"Cannot configure ECN.",error
network,0x00b3005b,"Cannot configure TCP attempts.",error
network,0x00b3005c,"Cannot configure ARP interval.",error
network,0x00b3005d,"Cannot configure ARP attempts.",error
network,0x00b3005e,"Cannot configure destination routing.",error
network,0x00b3005f,"Cannot configure interface isolation.",error
network,0x00b30060,"Cannot configure reverse path filtering.",error
network,0x00b30061,"Cannot configure TCP window scaling.",error
network,0x00b30062,"Cannot configure flow control.",error
network,0x00b30063,"Interface configuration supports only one mode.",error
network,0x00b30064,"Cannot define static routes or default gateways without primary or secondary IP addresses.",error
network,0x00b30065,"Cannot define secondary IP address without a primary IP address.",error
network,0x00b30066,"Cannot configure standby control without a primary IP address.",error
network,0x00b30067,"Cannot create the vlan interface",error
network,0x00b30068,"Interface does not exist",error
network,0x00b60069,"Reconfiguring VLAN",info
network,0x00b3006a,"Cannot change the state of the kernel interface",error
network,0x00b3006b,"The GET method is required for WebSocket upgrade.",error
network,0x00b3006c,"HTTP 1.1 is required for WebSocket upgrade.",error
network,0x00b3006d,"HTTP 1.1 response version is required for WebSocket upgrade.",error
network,0x00b3006e,"Cannot configure standby control because it is not enabled in the installation package configuration file, /opt/ibm/datapower/datapower.conf.",error
network,0x00b3006f,"Cannot configure HTTP/2 support using SSL proxy profile.",error
network,0x00b30070,"Cannot configure HTTP/2 support without TLS 1.2 protocol.",error
network,0x00b30071,"Cannot configure HTTP/2 support without a supported cipher.",error
network,0x00b30072,"Cannot upgrade http to HTTP/2 with another protocol.",error
network,0x00b30073,"Cannot configure HTTP/2 support with an SSL server profile which has compression enabled.",error
network,0x00b30074,"Cannot configure HTTP/2 support with an SSL server profile which has renegotiation enabled.",error
networkfile,0x01f30001,"Invalid syntax for remote NFS mount point.",error
networkfile,0x01f30002,"Remote NFS mount point required.",error
networkfile,0x01f30003,"This NFS mount point is broken with an internal error.",error
networkfile,0x01f30004,"The NFS Client is globally disabled.",error
networkfile,0x01f30005,"The NFS static mount is down.",error
networkfile,0x01f60006,"Configuration change(s) pending asynchronous completion.",info
ntp,0x00e30001,"NTP - Cannot Resolve Server Name",error
ntp,0x00e30002,"NTP - Invalid Server Address",error
ntp,0x00e40003,"NTP Resource Error",warning
ntp,0x00e40004,"NTP Naming Error",warning
ntp,0x00e40005,"NTP Sending Error",warning
ntp,0x00e40006,"NTP Receive Error",warning
ntp,0x00e40007,"NTP Source Error",warning
ntp,0x00e40008,"NTP Timeout Error",warning
ntp,0x00e4000a,"No NTP servers are configured",warning
ntp,0x00e4000b,"NTP error response",warning
odr,0x03f30001,"Too many ODR Connector Groups. The limit is 64.",error
odr,0x03f30002,"Too many custom properties. The limit is 256.",error
odr,0x03f30003,"Too many Group Connectors. The limit is 16.",error
odr,0x03f30004,"Too many Connector Group properties. The limit is 256.",error
odr,0x03f30005,"Creation of the ODR library failed. Cleaning up.",error
odr,0x03f30006,"Initialization of the ODR library failed while configuring properties. Cleaning up.",error
odr,0x03f30007,"Initialization of the ODR library failed while setting properties. Cleaning up.",error
odr,0x03f30008,"ODR configuration failed. Could not install connector group",error
odr,0x03f30009,"ODR configuration failed. Could not start ODR libary.",error
odr,0x03f3000a,"Update of ODR connector group failed during removal.",error
odr,0x03f3000b,"Update of ODR connector group failed during insertion.",error
parser,0x00030001,"Parse error",error
parser,0x00030002,"Out of memory",error
parser,0x00030003,"XML parser limits exceeded",error
parser,0x00030004,"DTD encountered in SOAP context",error
parser,0x00030005,"Processing instruction encountered in SOAP context",error
parser,0x00030007,"Parse stopped by caller",error
parser,0x00030008,"Internal Parsing Error",error
parser,0x00030009,"Max node size exceeded",error
parser,0x0003000a,"Forbidden external reference encountered while parsing XML. External DTD/entity references are no longer allowed by default.",error
parser,0x0003000b,"Out of memory due to max-node-size too small",error
processing,0x01d30001,"AAA Authentication Failure",error
processing,0x01d30002,"AAA Authorization Failure",error
processing,0x01d30003,"Schema Validation Error",error
processing,0x01d30004,"Reject by SLM",error
processing,0x01d30005,"Virus Detected",error
proxy,0x01130002,"HTTP/0.9 not supported",error
proxy,0x01130003,"Unknown Destination",error
proxy,0x01130004,"Failed to process request headers",error
proxy,0x01130005,"Rejected by monitor filter",error
proxy,0x01130006,"Failed to establish a backside connection",error
proxy,0x01130007,"Failed to establish backside connection",error
proxy,0x01130008,"Lost connection with backside server",error
proxy,0x01130009,"Dynamic backend host not specified",error
proxy,0x0113000a,"Dynamic target specified unknown SSL proxy",error
proxy,0x0113000b,"Dynamic target specified invalid SSL proxy",error
proxy,0x01130010,"Cannot create back port URL",error
proxy,0x01130011,"Failed to process response headers",error
proxy,0x01130012,"Malformed version headers for HTTP request",error
proxy,0x01130013,"Malformed method headers for HTTP request",error
proxy,0x01130014,"Malformed version headers for HTTP response",error
proxy,0x01130016,"Request Header Too Long",error
proxy,0x01130017,"Response Header Too Long",error
proxy,0x01130018,"Connection terminated before request headers read because of the connection error occurs",error
proxy,0x01130019,"Connection terminated before response headers read because of the connection error occurs",error
proxy,0x0113001a,"Malformed headers for HTTP request",error
